trade_date,factor,group,rolling_ic
2024-10-10,GROWTH,其他,-0.142999731872516
2024-11-07,GROWTH,其他,-0.15007062717399686
2023-01-10,REV5,其他,0.08423460724386123
2023-02-14,REV5,其他,0.06131253919216982
2023-03-14,REV5,其他,-0.057354892180832125
2023-04-12,REV5,其他,-0.07398015320129321
2023-05-15,REV5,其他,-0.0038161609934658134
2023-06-12,REV5,其他,0.11307211681332556
2023-07-12,REV5,其他,0.09697167033434363
2023-08-09,REV5,其他,0.06106385280324653
2023-09-06,REV5,其他,0.03648339076426058
2023-10-12,REV5,其他,-0.03966604314518973
2023-11-09,REV5,其他,-0.05206102604267384
2023-12-07,REV5,其他,-0.04797124868943257
2024-01-05,REV5,其他,-0.07605303098332328
2024-02-02,REV5,其他,-0.007214962778763712
2024-03-11,REV5,其他,-0.07860951182863213
2024-04-10,REV5,其他,0.01612609334225746
2024-05-13,REV5,其他,-0.153652718925311
2024-06-11,REV5,其他,-0.13539130407498698
2024-07-09,REV5,其他,0.01230926710154497
2024-08-06,REV5,其他,0.12058209084180038
2024-09-03,REV5,其他,0.12348993822194627
2024-10-10,REV5,其他,-0.11957734916182788
2024-11-07,REV5,其他,-0.08995945018794578
