trade_date,portfolio,gross_ret,cost,net_ret,benchmark_ret,turnover,n_long,n_short
2023-04-12,因果显著因子,0.0252586539541374,0.00111,0.0241486539541374,-0.035719719274741414,0.6166666666666667,30,30
2023-05-15,因果显著因子,0.035437155695827185,0.00135,0.03408715569582719,-0.03076547054545409,0.75,30,30
2023-06-12,因果显著因子,-0.04333922810138604,0.00117,-0.044509228101386036,-0.011407904567375896,0.65,30,30
2023-07-12,因果显著因子,-0.053130870793690665,0.00138,-0.054510870793690665,0.026506946804920904,0.7666666666666666,30,30
2023-08-09,因果显著因子,0.024650464679901903,0.0012599999999999998,0.023390464679901902,-0.0400558875657242,0.7,30,30
2023-09-06,因果显著因子,0.04077029945425316,0.0010199999999999999,0.03975029945425316,-0.021268503659210628,0.5666666666666667,30,30
2023-10-12,因果显著因子,0.0013960476753681842,0.00099,0.0004060476753681842,-0.007852461960878321,0.55,30,30
2023-11-09,因果显著因子,0.03655938043801919,0.0009,0.035659380438019195,-0.03174706862420162,0.5,30,30
2023-12-07,因果显著因子,0.028219065877706097,0.0009599999999999999,0.027259065877706098,-0.030256067101325182,0.5333333333333333,30,30
2024-01-05,因果显著因子,0.10548118479156476,0.0010800000000000002,0.10440118479156477,-0.08707166861553386,0.6000000000000001,30,30
2024-02-02,因果显著因子,-0.17164087460459743,0.0010199999999999999,-0.17266087460459742,0.17316229250804735,0.5666666666666667,30,30
2024-03-11,因果显著因子,0.07655425415330663,0.00123,0.07532425415330664,-0.029127180184019018,0.6833333333333333,30,30
2024-04-10,因果显著因子,0.047961381252050614,0.00105,0.04691138125205061,0.03986312384793832,0.5833333333333333,30,30
2024-05-13,因果显著因子,0.030389536842507395,0.0012000000000000001,0.029189536842507396,-0.04959657955384986,0.6666666666666667,30,30
2024-06-11,因果显著因子,0.08848447225089556,0.00105,0.08743447225089557,-0.05663713222394203,0.5833333333333334,30,30
2024-07-09,因果显著因子,-0.11467747053002138,0.00111,-0.11578747053002138,-0.002362958670975972,0.6166666666666667,30,30
2024-08-06,因果显著因子,-0.025150537765344406,0.0013800000000000002,-0.026530537765344406,-0.032082342120763864,0.7666666666666667,30,30
2024-09-03,因果显著因子,-0.15390803358603555,0.00117,-0.15507803358603556,0.2571413283883,0.65,30,30
2024-10-10,因果显著因子,0.14046394865880957,0.00159,0.13887394865880956,0.1108750555342657,0.8833333333333334,30,30
2024-11-07,因果显著因子,-0.009339121861477472,0.00135,-0.010689121861477472,-0.05722292994588641,0.75,30,30
2023-01-10,IC显著因子,-0.04822290829591765,0.0,-0.04822290829591765,0.0629375522971761,0.5,30,30
2023-02-14,IC显著因子,-0.02691568037199763,0.00048000000000000007,-0.027395680371997633,-0.024510596053927487,0.2666666666666667,30,30
2023-03-14,IC显著因子,-0.03885573372936836,0.0006000000000000001,-0.039455733729368364,0.06918142925391291,0.33333333333333337,30,30
2023-04-12,IC显著因子,0.04766553121063031,0.00072,0.04694553121063031,-0.035719719274741414,0.4,30,30
2023-05-15,IC显著因子,-0.015295018727319962,0.00072,-0.01601501872731996,-0.03076547054545409,0.4,30,30
2023-06-12,IC显著因子,-0.01849349825571644,0.0006000000000000001,-0.01909349825571644,-0.011407904567375896,0.33333333333333337,30,30
2023-07-12,IC显著因子,-0.054241675010652475,0.00072,-0.05496167501065247,0.026506946804920904,0.4,30,30
2023-08-09,IC显著因子,0.03210106221549605,0.00078,0.03132106221549605,-0.0400558875657242,0.43333333333333335,30,30
2023-09-06,IC显著因子,-0.018539294336275304,0.0006900000000000001,-0.019229294336275304,-0.021268503659210628,0.38333333333333336,30,30
2023-10-12,IC显著因子,-0.03291156031644251,0.00066,-0.03357156031644251,-0.007852461960878321,0.3666666666666667,30,30
2023-11-09,IC显著因子,-0.022080599223769554,0.00066,-0.022740599223769555,-0.03174706862420162,0.3666666666666667,30,30
2023-12-07,IC显著因子,0.05512385582900418,0.00063,0.05449385582900418,-0.030256067101325182,0.35000000000000003,30,30
2024-01-05,IC显著因子,0.02275265144842388,0.00057,0.02218265144842388,-0.08707166861553386,0.31666666666666665,30,30
2024-02-02,IC显著因子,-0.023076382242334242,0.0007500000000000001,-0.023826382242334243,0.17316229250804735,0.41666666666666674,30,30
2024-03-11,IC显著因子,0.049559186379791016,0.00054,0.04901918637979102,-0.029127180184019018,0.3,30,30
2024-04-10,IC显著因子,0.07786523295557082,0.00057,0.07729523295557082,0.03986312384793832,0.31666666666666665,30,30
2024-05-13,IC显著因子,-0.022544471546801906,0.00063,-0.023174471546801904,-0.04959657955384986,0.35000000000000003,30,30
2024-06-11,IC显著因子,0.04902160564587324,0.00063,0.04839160564587324,-0.05663713222394203,0.35000000000000003,30,30
2024-07-09,IC显著因子,-0.077046923880821,0.0006,-0.077646923880821,-0.002362958670975972,0.3333333333333333,30,30
2024-08-06,IC显著因子,0.014421949202668503,0.00072,0.013701949202668503,-0.032082342120763864,0.4,30,30
2024-09-03,IC显著因子,-0.11311680977475233,0.00063,-0.11374680977475234,0.2571413283883,0.35000000000000003,30,30
2024-10-10,IC显著因子,-0.09526221456610076,0.00081,-0.09607221456610077,0.1108750555342657,0.45,30,30
2024-11-07,IC显著因子,-0.031306687427271114,0.00084,-0.032146687427271115,-0.05722292994588641,0.4666666666666667,30,30
